node1,node2,distance
A,B,0.698
B,C,1.346
B,E,1.092403488
C,D,0.756
C,G,0.911000022
E,F,1.096100041
E,H,0.337748027
F,G,0.853
F,I,0.711556835
G,J,0.5289
H,K,0.7531
I,L,0.412049803
J,L,1.26789136
J,M,0.338283919
K,L,0.9005
K,Q,0.7921
L,R,0.794530566
M,N,0.529200151
M,U,0.510925631
N,O,0.163166081
O,P,0.176118965
P,AB,1.2509
Q,R,0.9626
Q,X,0.7838
R,S,0.4374
R,Y,0.7838
S,T,0.279847905
T,U,0.599153486
T,V,0.463351929
U,W,0.729054209
W,AB,0.47233053
X,Y,0.9626
X,AD,0.918
Y,Z,0.909100005
Y,AC,0.488425153
Z,AA,0.485076829
Z,AG,0.976778588
AA,AB,0.494769896
AB,AH,1.204900017
AC,AE,0.436500011
AD,AE,0.879000051
AD,AL,0.853
AE,AF,0.521000086
AF,AG,0.8057
AF,AN,1.291308948
AG,AH,0.594300008
AH,AQ,1.3422
AI,AJ,0.208862371
AI,AP,0.5599
AJ,AK,0.378710787
AL,AM,0.55498054
AL,AV,1.4919
AM,AN,0.489248403
AM,AR,0.5539
AN,AO,0.439885406
AO,AP,0.3274
AO,AU,0.5486
AP,AQ,1.0726
AQ,BE,1.0671
AR,AS,0.244447868
AS,AT,0.230316044
AT,AU,0.5426
AU,AZ,0.4325
AV,AW,0.411254581
AW,AX,0.434162182
AX,AY,0.322613484
AY,AZ,0.270356246
AZ,BA,0.231168596
BA,BB,0.302219076
BB,BC,0.259366922
BC,BD,0.287784676
BD,BE,0.414500193
B,A,0.698
C,B,1.346
E,B,1.092403488
D,C,0.756
G,C,0.911000022
F,E,1.096100041
H,E,0.337748027
G,F,0.853
I,F,0.711556835
J,G,0.5289
K,H,0.7531
L,I,0.412049803
L,J,1.26789136
M,J,0.338283919
L,K,0.9005
Q,K,0.7921
R,L,0.794530566
N,M,0.529200151
U,M,0.510925631
O,N,0.163166081
P,O,0.176118965
AB,P,1.2509
R,Q,0.9626
X,Q,0.7838
S,R,0.4374
Y,R,0.7838
T,S,0.279847905
U,T,0.599153486
V,T,0.463351929
W,U,0.729054209
AB,W,0.47233053
Y,X,0.9626
AD,X,0.918
Z,Y,0.909100005
AC,Y,0.488425153
AA,Z,0.485076829
AG,Z,0.976778588
AB,AA,0.494769896
AH,AB,1.204900017
AE,AC,0.436500011
AE,AD,0.879000051
AL,AD,0.853
AF,AE,0.521000086
AG,AF,0.8057
AN,AF,1.291308948
AH,AG,0.594300008
AQ,AH,1.3422
AJ,AI,0.208862371
AP,AI,0.5599
AK,AJ,0.378710787
AM,AL,0.55498054
AV,AL,1.4919
AN,AM,0.489248403
AR,AM,0.5539
AO,AN,0.439885406
AP,AO,0.3274
AU,AO,0.5486
AQ,AP,1.0726
BE,AQ,1.0671
AS,AR,0.244447868
AT,AS,0.230316044
AU,AT,0.5426
AZ,AU,0.4325
AW,AV,0.411254581
AX,AW,0.434162182
AY,AX,0.322613484
AZ,AY,0.270356246
BA,AZ,0.231168596
BB,BA,0.302219076
BC,BB,0.259366922
BD,BC,0.287784676
BE,BD,0.414500193
