Name,X,Y,count_node,a_node_1,a_node_2,a_node_3,a_node_4
1,0.000,0.000,1,2,,,
2,0.698,0.000,3,1,3,5,
3,2.044,0.000,3,2,7,4,
4,2.800,0.000,1,3,,,
5,0.095,0.911,3,2,6,8,
6,1.191,0.911,3,5,7,9,
7,2.044,0.911,3,3,6,10,
8,0.000,1.235,2,5,11,,
9,0.944,1.578,2,6,12,,
10,2.044,1.440,3,7,12,13,
11,0.000,1.988,3,8,12,17,
12,0.901,1.988,4,9,10,11,18
13,2.065,1.778,3,10,14,21,
14,2.595,1.777,2,13,15,,
15,2.733,1.863,2,14,16,,
16,2.800,2.026,2,15,28,,
17,0.000,2.780,3,11,18,24,
18,0.963,2.780,4,12,17,19,25
19,1.400,2.780,2,18,20,,
20,1.647,2.648,3,19,21,22,
21,2.124,2.285,3,13,20,23,
22,1.872,3.053,1,20,,,
23,2.552,2.875,2,21,28,,
24,0.000,3.564,3,17,25,30,
25,0.963,3.564,4,18,24,26,29
26,1.872,3.564,3,25,27,33,
27,2.350,3.483,2,26,28,,
28,2.800,3.277,4,16,23,27,34
29,0.879,4.045,2,25,31,,
30,0.000,4.482,3,24,31,38,
31,0.879,4.482,3,30,29,32,
32,1.400,4.482,3,31,33,40,
33,2.206,4.482,3,26,32,34,
34,2.800,4.482,3,28,33,43,
35,1.727,5.264,2,36,42,,
36,1.872,5.113,2,35,37,,
37,2.250,5.092,1,36,,,
38,0.000,5.335,3,30,39,48,
39,0.517,5.538,3,38,40,44,
40,0.977,5.702,3,32,39,41,
41,1.400,5.824,3,40,42,47,
42,1.727,5.824,3,35,41,43,
43,2.800,5.824,3,34,42,57,
44,0.517,6.092,2,39,45,,
45,0.638,6.304,2,44,46,,
46,0.857,6.373,2,45,47,,
47,1.400,6.373,3,41,46,52,
48,0.000,6.827,2,38,49,,
49,0.387,6.967,2,48,50,,
50,0.814,6.891,2,49,51,,
51,1.131,6.827,2,50,52,,
52,1.400,6.805,3,47,51,53,
53,1.605,6.913,2,52,54,,
54,1.872,7.054,2,53,55,,
55,2.129,7.091,2,54,56,,
56,2.410,7.033,2,55,57,,
57,2.800,6.891,2,43,56,,
